GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
203274	4.98e-02	7.72e-05	0.2442	3.9528258	0.9651839	796.39	LINC00537	long intergenic non-protein coding RNA 537
23312	4.98e-02	7.19e-05	0.238	-3.9698581	-0.9447907	2507.73	DMXL2	Dmx like 2
8030	5.79e-02	9.75e-05	0.1529	-3.8968415	-0.5958386	740.61	CCDC6	coiled-coil domain containing 6
23646	6.14e-02	1.08e-04	0.2359	-3.8717099	-0.9134559	3533.45	PLD3	phospholipase D family member 3
79651	7.39e-02	1.36e-04	0.1362	3.8160668	0.5198969	12519.94	RHBDF2	rhomboid 5 homolog 2
8412	7.56e-02	1.45e-04	0.1726	-3.8002227	-0.6560266	794.42	BCAR3	BCAR3 adaptor protein, NSP family member
400823	8.38e-02	1.67e-04	0.2062	3.764777	0.7763608	344.07	FAM177B	family with sequence similarity 177 member B
3113	9.46e-02	1.95e-04	0.1884	-3.7250838	-0.7018276	28547.2	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
8854	1.01e-01	2.24e-04	0.9602	-3.6898857	-3.5429462	488.2	ALDH1A2	aldehyde dehydrogenase 1 family member A2
2357	1.01e-01	2.22e-04	0.3041	3.6925913	1.1228643	3952.11	FPR1	formyl peptide receptor 1
339541	1.06e-01	2.86e-04	0.3776	3.6278108	1.3700275	354.47	ARMH1	armadillo like helical domain containing 1
1118	1.06e-01	2.74e-04	1.1655	-3.6382776	-4.2403588	300.2	CHIT1	chitinase 1
83992	1.06e-01	2.70e-04	0.1812	3.6420716	0.6600746	1492.06	CTTNBP2	cortactin binding protein 2
4673	1.06e-01	2.79e-04	0.1986	-3.6336017	-0.7215264	9725.93	NAP1L1	nucleosome assembly protein 1 like 1
283383	1.06e-01	2.45e-04	0.518	-3.6670271	-1.8993644	601.71	ADGRD1	adhesion G protein-coupled receptor D1
126282	1.06e-01	2.67e-04	0.1235	-3.6451122	-0.4500002	551.45	TNFAIP8L1	TNF alpha induced protein 8 like 1
154796	1.06e-01	2.91e-04	0.253	3.6229089	0.9165114	1016.87	AMOT	angiomotin
149603	1.07e-01	3.03e-04	0.155	-3.612922	-0.5600656	651.56	RNF187	ring finger protein 187
340348	1.20e-01	3.48e-04	0.2159	3.5763026	0.7721535	742.16	TSPAN33	tetraspanin 33
441273	1.24e-01	3.70e-04	0.2282	3.5609034	0.8125617	161.39	SPDYE2	speedy/RINGO cell cycle regulator family member E2
100288069	1.38e-01	4.28e-04	0.3072	3.522248	1.0821174	95.79	LOC100288069	uncharacterized LOC100288069
23507	1.38e-01	4.54e-04	0.2112	-3.5062682	-0.7405106	652.12	LRRC8B	leucine rich repeat containing 8 VRAC subunit B
79658	1.38e-01	4.51e-04	0.5289	-3.5080187	-1.8553672	121.05	ARHGAP10	Rho GTPase activating protein 10
93663	1.38e-01	4.53e-04	0.2235	-3.5072806	-0.7837427	747.77	ARHGAP18	Rho GTPase activating protein 18
59338	1.47e-01	5.14e-04	0.2339	-3.4732847	-0.8123767	790.75	PLEKHA1	pleckstrin homology domain containing A1
4048	1.47e-01	5.14e-04	0.2308	-3.4732013	-0.8015573	2096.17	LTA4H	leukotriene A4 hydrolase
7296	1.47e-01	5.18e-04	0.1773	-3.4713182	-0.6154536	1364.51	TXNRD1	thioredoxin reductase 1
54629	1.63e-01	5.84e-04	0.1424	-3.438782	-0.4896867	1227.57	MINDY2	MINDY lysine 48 deubiquitinase 2
3956	1.73e-01	6.36e-04	0.3125	-3.4156572	-1.0674072	1429.16	LGALS1	galectin 1
10412	1.96e-01	7.33e-04	0.1439	-3.3770684	-0.4857914	1422.1	NSA2	NSA2 ribosome biogenesis factor
112267940	2.02e-01	7.74e-04	0.4724	3.3620982	1.5883808	136.84	LOC112267940	
767	2.06e-01	8.05e-04	0.6031	3.3511374	2.0211444	155.39	CA8	carbonic anhydrase 8
26523	2.07e-01	8.21e-04	0.1645	-3.3454561	-0.5504411	1193.83	AGO1	argonaute RISC component 1
10457	2.32e-01	9.75e-04	0.4708	-3.29768	-1.5524819	9559.83	GPNMB	glycoprotein nmb
23678	2.32e-01	9.52e-04	0.157	-3.3043034	-0.5188866	398.18	SGK3	serum/glucocorticoid regulated kinase family member 3
222487	2.32e-01	9.63e-04	0.3064	3.3010258	1.0114164	2258.65	ADGRG3	adhesion G protein-coupled receptor G3
11326	2.33e-01	9.96e-04	0.2986	3.2916697	0.9829548	8017.94	VSIG4	V-set and immunoglobulin domain containing 4
6402	2.43e-01	1.08e-03	0.4376	3.2686855	1.4305233	1517.82	SELL	selectin L
112267939	2.43e-01	1.06e-03	0.4785	3.2730839	1.5660286	136.33	LOC112267939	
4354	2.43e-01	1.10e-03	0.1761	-3.2648615	-0.5749365	1391.2	MPP1	MAGUK p55 scaffold protein 1
219855	2.49e-01	1.14e-03	0.222	-3.2529829	-0.7220878	2089.09	SLC37A2	solute carrier family 37 member 2
150771	2.77e-01	1.31e-03	0.2284	3.2128569	0.733823	258.06	ITPRIPL1	ITPRIP like 1
861	2.77e-01	1.31e-03	0.1585	3.2143243	0.5094705	4409.3	RUNX1	RUNX family transcription factor 1
9759	2.79e-01	1.37e-03	0.1979	3.2015992	0.6334907	706.19	HDAC4	histone deacetylase 4
55357	2.79e-01	1.36e-03	0.2692	-3.2036136	-0.8622751	296.17	TBC1D2	TBC1 domain family member 2
4145	2.89e-01	1.44e-03	0.3408	-3.1868665	-1.0860359	367.55	MATK	megakaryocyte-associated tyrosine kinase
55244	3.06e-01	1.54e-03	0.4956	-3.1664368	-1.5691599	321.43	SLC47A1	solute carrier family 47 member 1
102723955	3.07e-01	1.58e-03	0.3678	3.1590285	1.1618331	334.57	PDE4DIPP7	PDE4DIP pseudogene 7
9462	3.07e-01	1.60e-03	0.1716	-3.1567392	-0.5417411	1720.57	RASAL2	RAS protein activator like 2
51338	3.18e-01	1.68e-03	0.2627	3.1417383	0.8254537	1216.96	MS4A4A	membrane spanning 4-domains A4A
100533105	3.19e-01	1.71e-03	0.161	-3.1370846	-0.5049941	409.83	C8orf44-SGK3	C8orf44-SGK3 readthrough
689	3.46e-01	1.95e-03	0.1145	-3.0976939	-0.3548257	3539.91	BTF3	basic transcription factor 3
4856	3.46e-01	1.95e-03	0.652	-3.0974003	-2.019415	130.05	CCN3	cellular communication network factor 3
55148	3.46e-01	1.93e-03	0.1548	-3.1008914	-0.4799797	502.83	UBR7	ubiquitin protein ligase E3 component n-recognin 7
101929823	3.46e-01	1.98e-03	0.3044	3.0932914	0.9414628	160.32	LOC101929823	uncharacterized LOC101929823
110091775	3.46e-01	1.99e-03	0.2157	3.0922083	0.6670964	123.41	CFAP298-TCP10L	CFAP298-TCP10L readthrough
9520	3.57e-01	2.07e-03	0.1795	-3.0795041	-0.5526697	1495.04	NPEPPS	aminopeptidase puromycin sensitive
1116	3.64e-01	2.17e-03	0.4649	-3.0660972	-1.4255794	955.22	CHI3L1	chitinase 3 like 1
57701	3.64e-01	2.16e-03	0.1491	3.0676929	0.457409	1874.3	NCKAP5L	NCK associated protein 5 like
57590	3.65e-01	2.21e-03	0.1709	-3.0611053	-0.523026	1011.02	WDFY1	WD repeat and FYVE domain containing 1
22879	3.68e-01	2.25e-03	0.112	3.0547564	0.3420713	1029.36	MON1B	MON1 homolog B, secretory trafficking associated
64753	3.70e-01	2.29e-03	0.2663	3.0494106	0.8121989	382.4	CCDC136	coiled-coil domain containing 136
91543	3.72e-01	2.34e-03	0.318	-3.0438326	-0.9680017	247.33	RSAD2	radical S-adenosyl methionine domain containing 2
4690	3.75e-01	2.49e-03	0.1306	-3.0240163	-0.3950176	791.98	NCK1	NCK adaptor protein 1
728262	3.75e-01	2.49e-03	0.4087	3.0246138	1.236024	1670.68	FAM157A	family with sequence similarity 157 member A
101929599	3.75e-01	2.45e-03	0.3885	3.0293555	1.1770305	605.19	LOC101929599	putative POM121-like protein 1-like pseudogene
1612	3.75e-01	2.45e-03	0.3558	-3.0295854	-1.078017	320.25	DAPK1	death associated protein kinase 1
11060	3.75e-01	2.39e-03	0.0979	-3.0365796	-0.2973836	1010.47	WWP2	WW domain containing E3 ubiquitin protein ligase 2
6507	3.85e-01	2.65e-03	0.1711	3.0059103	0.5144422	14987.77	SLC1A3	solute carrier family 1 member 3
3082	3.85e-01	2.70e-03	0.2366	-3.0002002	-0.7097394	551.13	HGF	hepatocyte growth factor
55074	3.85e-01	2.66e-03	0.158	-3.0044603	-0.4745661	1308.81	OXR1	oxidation resistance 1
9550	3.85e-01	2.71e-03	0.1452	-2.9989836	-0.4354174	1166.81	ATP6V1G1	ATPase H+ transporting V1 subunit G1
944	3.85e-01	2.61e-03	0.2308	-3.0107374	-0.6947507	530.32	TNFSF8	TNF superfamily member 8
54510	3.89e-01	2.77e-03	0.3806	-2.9922685	-1.1387694	372.9	PCDH18	protocadherin 18
51319	3.92e-01	2.81e-03	0.1842	-2.9872643	-0.5503309	358.35	RSRC1	arginine and serine rich coiled-coil 1
29967	3.98e-01	2.89e-03	0.2774	-2.9788537	-0.826346	258.68	LRP12	LDL receptor related protein 12
221908	4.18e-01	3.10e-03	0.1951	2.9572684	0.5769435	224.5	PPP1R35	protein phosphatase 1 regulatory subunit 35
81537	4.18e-01	3.10e-03	0.1675	-2.9573962	-0.4952847	1175.09	SGPP1	sphingosine-1-phosphate phosphatase 1
81619	4.22e-01	3.20e-03	0.1549	2.9474344	0.456483	4232.42	TSPAN14	tetraspanin 14
114799	4.22e-01	3.23e-03	0.1535	-2.9448596	-0.4518948	454.85	ESCO1	establishment of sister chromatid cohesion N-acetyltransferase 1
79087	4.22e-01	3.22e-03	0.2022	2.9460288	0.5957154	361.99	ALG12	ALG12 alpha-1,6-mannosyltransferase
359845	4.34e-01	3.35e-03	0.4351	2.9332813	1.2762092	156.43	RFLNB	refilin B
8514	4.34e-01	3.59e-03	0.2959	-2.9119341	-0.8615196	395.16	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2
60509	4.34e-01	3.61e-03	0.1525	-2.91036	-0.4437906	394.5	AGBL5	AGBL carboxypeptidase 5
6772	4.34e-01	3.73e-03	0.2665	-2.8997545	-0.7726713	2044.28	STAT1	signal transducer and activator of transcription 1
4711	4.34e-01	3.75e-03	0.13	-2.8980911	-0.3767693	834.33	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5
3115	4.34e-01	3.67e-03	0.2173	-2.9055947	-0.6314052	11283.08	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
100310812	4.34e-01	3.67e-03	0.2367	2.9054263	0.6877824	212.15	SPDYE2B	speedy/RINGO cell cycle regulator family member E2B
168544	4.34e-01	3.68e-03	0.1879	2.9042543	0.5457255	646.48	ZNF467	zinc finger protein 467
64420	4.34e-01	3.70e-03	0.2945	-2.9025199	-0.8549326	452.07	SUSD1	sushi domain containing 1
50488	4.34e-01	3.64e-03	0.1709	-2.9074873	-0.4969066	4818.52	MINK1	misshapen like kinase 1
1018	4.34e-01	3.41e-03	0.2838	2.9282523	0.8310025	141.26	CDK3	cyclin dependent kinase 3
9424	4.34e-01	3.47e-03	0.2759	2.9228361	0.8062781	571.23	KCNK6	potassium two pore domain channel subfamily K member 6
29761	4.34e-01	3.46e-03	0.0931	-2.9238717	-0.2723432	1002.72	USP25	ubiquitin specific peptidase 25
102723340	4.48e-01	3.90e-03	0.3191	-2.8859023	-0.9208037	182.03	LOC102723340	uncharacterized LOC102723340
53981	4.52e-01	3.98e-03	0.1105	-2.8801116	-0.3181448	1098.83	CPSF2	cleavage and polyadenylation specific factor 2
80271	4.60e-01	4.08e-03	0.2907	2.8717544	0.8348993	421.7	ITPKC	inositol-trisphosphate 3-kinase C
51195	4.61e-01	4.12e-03	0.2836	2.8685045	0.813541	167.04	RAPGEFL1	Rap guanine nucleotide exchange factor like 1
89790	4.62e-01	4.17e-03	0.2614	2.8651215	0.7489653	3839.16	SIGLEC10	sialic acid binding Ig like lectin 10
128346	4.66e-01	4.36e-03	0.2344	2.8508433	0.6681117	2159.61	C1orf162	chromosome 1 open reading frame 162
101929805	4.66e-01	4.26e-03	0.405	2.8585782	1.1576131	187.11	LOC101929805	myomegalin-like
2995	4.66e-01	4.38e-03	0.2433	-2.8491207	-0.6933019	1442.79	GYPC	glycophorin C (Gerbich blood group)
27333	4.66e-01	4.36e-03	0.2291	-2.8508537	-0.653216	1272.27	GOLIM4	golgi integral membrane protein 4
6608	4.66e-01	4.29e-03	0.3363	2.8558997	0.9603679	158.33	SMO	smoothened, frizzled class receptor
60682	4.68e-01	4.44e-03	0.1991	-2.8452186	-0.5664551	319.42	SMAP1	small ArfGAP 1
11228	4.68e-01	4.48e-03	0.1551	2.8424771	0.4408849	1794.62	RASSF8	Ras association domain family member 8
375307	4.70e-01	4.53e-03	0.3198	2.8389317	0.9078578	110.3	CATIP	ciliogenesis associated TTC17 interacting protein
214	4.74e-01	4.62e-03	0.2431	-2.8326835	-0.6887069	3311.53	ALCAM	activated leukocyte cell adhesion molecule
105376333	4.74e-01	4.68e-03	0.3784	2.8284199	1.0701536	348.73	LOC105376333	uncharacterized LOC105376333
2901	4.74e-01	4.67e-03	0.3973	2.8291313	1.1239525	151.08	GRIK5	glutamate ionotropic receptor kainate type subunit 5
51727	4.76e-01	4.76e-03	0.1193	-2.8225373	-0.3367356	1651.45	CMPK1	cytidine/uridine monophosphate kinase 1
171389	4.76e-01	4.74e-03	0.579	2.8238846	1.6351393	158.73	NLRP6	NLR family pyrin domain containing 6
2908	4.80e-01	4.85e-03	0.1573	-2.8171586	-0.4432365	2764.52	NR3C1	nuclear receptor subfamily 3 group C member 1
115361	4.82e-01	5.60e-03	0.2601	-2.7700597	-0.7205804	784.17	GBP4	guanylate binding protein 4
109	4.82e-01	5.42e-03	0.3186	-2.7807564	-0.8858295	745.64	ADCY3	adenylate cyclase 3
6519	4.82e-01	5.70e-03	0.166	-2.764404	-0.4587792	265.54	SLC3A1	solute carrier family 3 member 1
151011	4.82e-01	5.45e-03	0.1966	-2.7794288	-0.5465312	593.25	SEPTIN10	septin 10
114793	4.82e-01	5.49e-03	0.155	-2.7766132	-0.4305077	4885.92	FMNL2	formin like 2
91869	4.82e-01	5.49e-03	0.1999	2.7766201	0.5550216	561.17	RFT1	RFT1 homolog
950	4.82e-01	5.30e-03	0.1787	-2.7880898	-0.4983565	3584.94	SCARB2	scavenger receptor class B member 2
105377771	4.82e-01	4.97e-03	0.2765	2.8087744	0.7765583	113.01	LOC105377771	
401233	4.82e-01	5.63e-03	0.2514	-2.7687295	-0.6960562	434.13	HTATSF1P2	HIV-1 Tat specific factor 1 pseudogene 2
58528	4.82e-01	5.64e-03	0.3859	-2.7680463	-1.06828	467.84	RRAGD	Ras related GTP binding D
9601	4.82e-01	5.27e-03	0.3146	2.7901256	0.877717	2178.8	PDIA4	protein disulfide isomerase family A member 4
4481	4.82e-01	5.63e-03	0.2121	-2.7683359	-0.5872896	4985.29	MSR1	macrophage scavenger receptor 1
23237	4.82e-01	5.71e-03	0.3112	-2.7640629	-0.8601202	433.27	ARC	activity regulated cytoskeleton associated protein
1902	4.82e-01	5.61e-03	0.2494	-2.7694573	-0.6906009	506.24	LPAR1	lysophosphatidic acid receptor 1
22841	4.82e-01	5.19e-03	0.1349	2.795223	0.37708	558.69	RAB11FIP2	RAB11 family interacting protein 2
100133161	4.82e-01	5.21e-03	0.3584	2.7939586	1.0014844	1285.34	LINC01001	long intergenic non-protein coding RNA 1001
55681	4.82e-01	5.58e-03	0.1031	-2.7714193	-0.2858015	1337.21	SCYL2	SCY1 like pseudokinase 2
29954	4.82e-01	5.48e-03	0.1687	2.7775679	0.4684511	472.99	POMT2	protein O-mannosyltransferase 2
652966	4.82e-01	5.21e-03	0.2847	2.793794	0.7953645	353.96	SNORD10	small nucleolar RNA, C/D box 10
399844	4.82e-01	5.06e-03	0.41	2.8030648	1.1493485	1344.77	LINC01002	long intergenic non-protein coding RNA 1002
101928344	4.82e-01	5.28e-03	0.3327	2.7895811	0.9280069	284.95	LOC101928344	uncharacterized LOC101928344
6253	4.82e-01	5.19e-03	0.2387	-2.794815	-0.667242	234.16	RTN2	reticulon 2
4549	4.82e-01	5.12e-03	0.1852	-2.7996508	-0.5184096	69934.27	RNR1	s-rRNA
5339	4.88e-01	5.86e-03	0.1871	2.7557752	0.5157306	9693.08	PLEC	plectin
80347	4.88e-01	5.85e-03	0.1697	2.7563131	0.4676115	766.54	COASY	Coenzyme A synthase
10636	4.90e-01	5.94e-03	0.2049	2.7509204	0.5636194	376.76	RGS14	regulator of G protein signaling 14
9517	4.90e-01	5.96e-03	0.1786	2.7502349	0.4910884	3489.55	SPTLC2	serine palmitoyltransferase long chain base subunit 2
7184	4.94e-01	6.05e-03	0.2413	2.7453219	0.6623996	16500.43	HSP90B1	heat shock protein 90 beta family member 1
131870	4.95e-01	6.09e-03	0.1735	2.7427235	0.4757357	1271.32	NUDT16	nudix hydrolase 16
25972	4.98e-01	6.17e-03	0.1462	2.7385162	0.4003769	565.24	UNC50	unc-50 inner nuclear membrane RNA binding protein
65095	5.03e-01	6.27e-03	0.1613	2.7334573	0.4409655	759.08	KRI1	KRI1 homolog
100133331	5.06e-01	7.52e-03	0.3362	2.6728634	0.8987394	1108.44	LOC100133331	replaced by ID 100288069
55092	5.06e-01	7.45e-03	0.1944	-2.67582	-0.5202619	785.45	TMEM51	transmembrane protein 51
23065	5.06e-01	6.38e-03	0.1446	2.7274302	0.3942768	932.73	EMC1	ER membrane protein complex subunit 1
205	5.06e-01	6.82e-03	0.586	-2.7053023	-1.5854285	114.76	AK4	adenylate kinase 4
9173	5.06e-01	6.46e-03	1.1002	2.723578	2.9965793	207.81	IL1RL1	interleukin 1 receptor like 1
25801	5.06e-01	7.92e-03	0.3343	2.6554884	0.8877022	1526.75	GCA	grancalcin
3680	5.06e-01	8.14e-03	0.2619	2.6460198	0.6930388	594.12	ITGA9	integrin subunit alpha 9
2632	5.06e-01	7.91e-03	0.1998	-2.6558949	-0.5307285	634.91	GBE1	1,4-alpha-glucan branching enzyme 1
4241	5.06e-01	7.06e-03	0.5505	-2.6937686	-1.4829302	109.21	MELTF	melanotransferrin
646652	5.06e-01	8.23e-03	0.4293	2.6425252	1.1343897	132.21	LOC646652	integral membrane glycoprotein-like pseudogene
51752	5.06e-01	6.88e-03	0.1337	2.7024972	0.3613866	1407.4	ERAP1	endoplasmic reticulum aminopeptidase 1
51015	5.06e-01	7.92e-03	0.2282	-2.6552739	-0.6059843	313.47	ISOC1	isochorismatase domain containing 1
285590	5.06e-01	6.92e-03	0.5699	2.7005256	1.5391235	356.14	SH3PXD2B	SH3 and PX domains 2B
1687	5.06e-01	7.52e-03	0.2449	-2.6729925	-0.6544921	1240.48	GSDME	gasdermin E
29887	5.06e-01	7.31e-03	0.2245	-2.6825909	-0.6023393	696.35	SNX10	sorting nexin 10
29992	5.06e-01	7.36e-03	0.1269	-2.6798852	-0.3400392	1264.09	PILRA	paired immunoglobin like type 2 receptor alpha
222229	5.06e-01	6.60e-03	0.226	2.716261	0.6137623	210.27	LRWD1	leucine rich repeats and WD repeat domain containing 1
444	5.06e-01	8.16e-03	0.1313	2.6451937	0.3473389	1015.14	ASPH	aspartate beta-hydroxylase
6503	5.06e-01	8.09e-03	0.1602	2.6483245	0.424174	3525.96	SLA	Src like adaptor
4061	5.06e-01	7.90e-03	0.2434	-2.6561934	-0.6465537	467.57	LY6E	lymphocyte antigen 6 family member E
4851	5.06e-01	8.27e-03	0.1853	2.6406443	0.4894136	3209.34	NOTCH1	notch receptor 1
5730	5.06e-01	7.18e-03	0.4963	-2.6881469	-1.3340301	520.79	PTGDS	prostaglandin D2 synthase
3688	5.06e-01	7.05e-03	0.2178	-2.6946883	-0.5868885	4327.83	ITGB1	integrin subunit beta 1
5660	5.06e-01	7.51e-03	0.1731	-2.673458	-0.462797	52008.38	PSAP	prosaposin
60626	5.06e-01	7.72e-03	0.3084	2.663984	0.8214641	1462.75	RIC8A	RIC8 guanine nucleotide exchange factor A
10263	5.06e-01	8.15e-03	0.1791	2.6456333	0.4737778	889.48	CDK2AP2	cyclin dependent kinase 2 associated protein 2
4055	5.06e-01	7.25e-03	0.2002	2.6850551	0.5374759	1925.96	LTBR	lymphotoxin beta receptor
1389	5.06e-01	6.99e-03	0.1619	-2.6974444	-0.4366604	3189.92	CREBL2	cAMP responsive element binding protein like 2
5204	5.06e-01	6.40e-03	0.1206	-2.7267588	-0.3287145	1954.14	PFDN5	prefoldin subunit 5
5501	5.06e-01	7.72e-03	0.1028	-2.6642421	-0.2739165	1608.75	PPP1CC	protein phosphatase 1 catalytic subunit gamma
100529261	5.06e-01	7.79e-03	0.1589	-2.6610055	-0.4228859	220.89	CHURC1-FNTB	CHURC1-FNTB readthrough
197131	5.06e-01	8.33e-03	0.1364	2.6385879	0.3599249	746.39	UBR1	ubiquitin protein ligase E3 component n-recognin 1
11345	5.06e-01	8.27e-03	0.1345	-2.6408508	-0.3552573	948.83	GABARAPL2	GABA type A receptor associated protein like 2
101927999	5.06e-01	7.42e-03	0.365	2.6775764	0.9772839	563.02	LOC101927999	putative uncharacterized protein FLJ44672
5048	5.06e-01	6.62e-03	0.1109	-2.7152762	-0.3010542	2364.7	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
26168	5.06e-01	7.47e-03	0.2238	2.6753229	0.5988232	642.84	SENP3	SUMO specific peptidase 3
348254	5.06e-01	6.87e-03	0.2642	2.7031213	0.7140927	170.84	CCDC144CP	coiled-coil domain containing 144C, pseudogene
2319	5.06e-01	8.27e-03	0.232	2.6407211	0.6125319	2163.65	FLOT2	flotillin 2
54903	5.06e-01	8.33e-03	0.192	-2.6385255	-0.5064808	230.48	MKS1	MKS transition zone complex subunit 1
51651	5.06e-01	8.01e-03	0.2092	-2.6517967	-0.5547154	293.04	PTRH2	peptidyl-tRNA hydrolase 2
2879	5.06e-01	6.94e-03	0.146	-2.6997192	-0.3941939	2300.39	GPX4	glutathione peroxidase 4
148252	5.06e-01	7.31e-03	0.4211	-2.6825869	-1.1295051	205.66	DIRAS1	DIRAS family GTPase 1
645	5.06e-01	6.97e-03	0.2363	-2.6983668	-0.637715	408.18	BLVRB	biliverdin reductase B
2204	5.06e-01	7.63e-03	0.3676	2.6678787	0.9806698	611.09	FCAR	Fc alpha receptor
11034	5.06e-01	8.18e-03	0.234	-2.6445839	-0.6189587	1185.85	DSTN	destrin, actin depolymerizing factor
8771	5.06e-01	7.12e-03	0.6072	2.6911153	1.6341442	137.79	TNFRSF6B	TNF receptor superfamily member 6b
1525	5.06e-01	8.08e-03	0.1697	-2.6488764	-0.4496279	1281.49	CXADR	CXADR Ig-like cell adhesion molecule
1476	5.06e-01	7.47e-03	0.1826	-2.6750999	-0.4883623	1264.26	CSTB	cystatin B
140606	5.06e-01	8.31e-03	0.2801	-2.6391202	-0.739186	252.05	SELENOM	selenoprotein M
25793	5.06e-01	7.94e-03	0.1058	-2.6547849	-0.2809422	1321.86	FBXO7	F-box protein 7
64781	5.06e-01	8.01e-03	0.2198	-2.6515101	-0.5827081	1682.67	CERK	ceramide kinase
107987398	5.06e-01	7.76e-03	0.3396	2.6623736	0.9040877	259.86	LOC107987398	replaced by ID 101929819
9051	5.14e-01	8.50e-03	0.2944	2.6316069	0.7746435	310.69	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1
3987	5.21e-01	8.73e-03	0.2056	-2.6223141	-0.5390766	2073.03	LIMS1	LIM zinc finger domain containing 1
10267	5.21e-01	8.70e-03	0.3259	-2.6238017	-0.8550272	217.08	RAMP1	receptor activity modifying protein 1
100506606	5.21e-01	8.66e-03	0.5336	2.6250257	1.4005855	91.03	LOC100506606	uncharacterized LOC100506606
55591	5.22e-01	8.79e-03	0.1118	-2.6202855	-0.2929807	936.01	VEZT	vezatin, adherens junctions transmembrane protein
221895	5.22e-01	8.83e-03	0.1694	2.6185423	0.4436106	1067.58	JAZF1	JAZF zinc finger 1
729737	5.27e-01	1.01e-02	0.3421	2.5715026	0.879704	2462.92	LOC729737	uncharacterized LOC729737
6146	5.27e-01	1.03e-02	0.1536	-2.5667389	-0.3942367	3524.73	RPL22	ribosomal protein L22
9064	5.27e-01	9.93e-03	0.4285	2.5782505	1.1048	325.23	MAP3K6	mitogen-activated protein kinase kinase kinase 6
54558	5.27e-01	9.30e-03	0.3384	2.6007113	0.8801118	456.61	SPATA6	spermatogenesis associated 6
107985193	5.27e-01	9.21e-03	0.2402	2.6041679	0.6255557	180.86	LOC107985193	uncharacterized LOC107985193
199882	5.27e-01	9.25e-03	0.3952	2.6027732	1.0285597	187.03	PDE4DIPP3	PDE4DIP pseudogene 3
9507	5.27e-01	9.48e-03	0.3616	2.5943498	0.9381868	654.49	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
2214	5.27e-01	1.01e-02	0.287	2.5733246	0.7385146	17714.49	FCGR3A	Fc gamma receptor IIIa
7100	5.27e-01	1.04e-02	0.1794	2.5638528	0.4598613	2274.58	TLR5	toll like receptor 5
27248	5.27e-01	9.69e-03	0.1536	-2.5868227	-0.3973852	511.23	ERLEC1	endoplasmic reticulum lectin 1
51776	5.27e-01	1.03e-02	0.2569	-2.5652567	-0.6590268	655.89	MAP3K20	mitogen-activated protein kinase kinase kinase 20
